3256, 28526339, Clarify
3255, 28513284, nAnswer
3254, 28513896, nAnswer
3254, 28515712, nAnswer
3253, 28488330, nAnswer
3253, 28507891, Emotion
3252, 28489076, nAnswer
3252, 28519438, Clarify
3250, 28482631, Clarify
3250, 28483008, nAnswer
3249, 28473284, Statement
3249, 28474200, yAnswer
3249, 28479591, Clarify
3249, 28480535, Clarify
3248, 28468498, nAnswer
3248, 28519484, Clarify
3247, 28514712, nAnswer
3245, 28393994, Clarify
3245, 28519615, nAnswer
3243, 28388109, Reject
3243, 28388861, Reject
3242, 28334203, nAnswer
3239, 28261928, Statement
3239, 28261988, Statement
3239, 28262223, Statement
3239, 28262901, Clarify
3239, 28264035, Statement
3239, 28273393, Statement
3239, 28300218, Clarify
3239, 28300759, Clarify
3239, 28455681, nAnswer
3239, 28456371, nAnswer
3234, 28208823, nAnswer
3234, 28243866, Reject
3234, 28255590, Statement
3234, 28274669, nAnswer
3234, 28274932, Statement
3234, 28405174, Clarify
3229, 28165258, nAnswer
3229, 28190386, Clarify
3229, 28230109, Accept
3229, 28233487, whQuestion
3229, 28236085, nAnswer
3229, 28314793, Clarify
3229, 28320534, Statement
3229, 28321718, Clarify
3228, 28144873, whQuestion
3228, 28203365, Clarify
3228, 28434383, Accept
3227, 28146310, ynQuestion
3227, 28153413, Clarify
3227, 28157638, Statement
3226, 28129641, Statement
3226, 28387412, Clarify
3226, 28389079, Clarify
3226, 28389331, Clarify
3226, 28389755, Clarify
3226, 28390186, Clarify
3226, 28472311, Clarify
3226, 28538271, Other
3226, 28538837, Clarify
3225, 28120679, Emphasis
3225, 28132084, nAnswer
3225, 28136729, nAnswer
3225, 28304792, Statement
3225, 28310085, Statement
3224, 28119509, Statement
3224, 28120853, ynQuestion
3224, 28121096, Reject
3224, 28121135, Statement
3224, 28121993, Clarify
3224, 28122304, Statement
3224, 28123123, Clarify
3224, 28123164, Reject
3224, 28124119, Clarify
3224, 28208046, Clarify
3224, 28210283, Clarify
3220, 27981081, Statement
3220, 27982431, Clarify
3220, 27986922, Clarify
3220, 27991442, Clarify
3220, 27993328, Reject
3220, 27995259, Clarify
3220, 27995921, yAnswer
3220, 28043409, Statement
3219, 27979715, Emotion
3219, 27985960, ynQuestion
3219, 27986251, System
3219, 27987933, ynQuestion
3219, 27988511, Clarify
3219, 28045983, Statement
3219, 28054728, nAnswer
3219, 28055203, nAnswer
3219, 28057777, Statement
3219, 28058288, Statement
3219, 28058724, Clarify
3219, 28059839, Reject
3219, 28060348, Clarify
3219, 28062230, Emphasis
3219, 28065906, Statement
3219, 28180137, Clarify
3218, 27958492, Statement
3214, 27912132, nAnswer
3212, 27844054, Statement
3212, 27850411, nAnswer
3207, 27799039, Clarify
3207, 27834202, Statement
3207, 27842886, Clarify
3207, 27847653, Statement
3207, 27864089, Clarify
3207, 28200119, nAnswer
3203, 27784466, Emphasis
3203, 27786150, Clarify
3203, 27787010, Clarify
3203, 27847209, Statement
3203, 27849018, Clarify
3203, 27850616, Clarify
3203, 27851513, Clarify
3203, 27852067, Reject
3203, 28043076, Other
3203, 28043517, Other
3203, 28044519, Clarify
3203, 28044697, Reject
3203, 28106243, Clarify
3203, 28132015, Statement
3203, 28133803, nAnswer
3203, 28387634, Clarify
3203, 28388800, nAnswer
3203, 28403635, Clarify
3195, 27663301, Statement
3195, 27663524, Statement
3195, 27696701, Clarify
3195, 28387167, Clarify
3194, 27641779, Emotion
3194, 27644414, Statement
3194, 27686361, Clarify
3182, 27296093, Clarify
3182, 27356713, Clarify
3182, 27796648, Reject
3182, 28387492, Clarify
3181, 27275464, Reject
3181, 27277309, Clarify
3181, 27284793, Statement
3181, 27319038, Clarify
3181, 27320469, Clarify
3178, 28312917, Reject
3178, 28509890, nAnswer
3178, 28511577, Clarify
3172, 27196609, Statement
3168, 27192440, nAnswer
3168, 27689000, Clarify
3168, 27696629, Reject
3168, 27701212, Statement
3166, 27170200, Statement
3166, 28210147, whQuestion
3157, 27153603, nAnswer
3157, 27468012, nAnswer
3157, 27502703, Clarify
3157, 28200589, nAnswer
3157, 28411342, Clarify
3147, 27037944, nAnswer
3147, 27041594, Statement
3147, 27079808, Clarify
3147, 27124773, Reject
3147, 27127144, Statement
3147, 27192595, Emphasis
3141, 26979583, nAnswer
3141, 26979738, nAnswer
3140, 26987998, Clarify
3140, 26988350, Reject
3136, 27192563, Clarify
3136, 27192815, ynQuestion
3136, 28519132, nAnswer
3132, 26862500, nAnswer
3132, 26883683, ynQuestion
3132, 26954272, Reject
3132, 27655200, whQuestion
3132, 27655357, Statement
3132, 27658410, Clarify
3132, 27664065, Clarify
3132, 27746281, Statement
3132, 28146275, Clarify
3132, 28159268, Clarify
3122, 26806434, whQuestion
3122, 26809107, ynQuestion
3122, 26811510, Clarify
3122, 26812763, Clarify
3122, 26812880, Clarify
3122, 26814215, Clarify
3120, 28480680, Clarify
3120, 28519690, Statement
3118, 26704510, whQuestion
3113, 26650805, Statement
3113, 26743216, Clarify
3095, 26363065, nAnswer
3095, 26835854, Clarify
3095, 26886708, Clarify
3088, 26229349, nAnswer
3088, 26229726, Clarify
3088, 26229849, Clarify
3088, 26230098, Clarify
3088, 26230868, Clarify
3088, 26230885, Clarify
3088, 26327878, Statement
3088, 26386367, Clarify
3088, 26507993, Clarify
3088, 26526820, Statement
3088, 26596329, whQuestion
3088, 26607973, Clarify
3088, 27144211, Clarify
3088, 27159683, Statement
3088, 27159709, nAnswer
3088, 27354043, ynQuestion
3075, 26705377, Reject
3070, 26034357, Clarify
3063, 25818542, Clarify
3063, 26875861, Clarify
3062, 26705555, Statement
3062, 26707984, Statement
3062, 26708666, Clarify
3030, 25294843, Statement
3030, 25318037, Clarify
3030, 25318066, yAnswer
3030, 25684573, Statement
3025, 24959971, Statement
3025, 24962556, whQuestion
3025, 24962718, Clarify
3025, 24962988, nAnswer
3025, 25044403, System
3025, 25045309, nAnswer
3025, 25046914, Clarify
3025, 25320576, Other
3025, 25321242, Clarify
3025, 25679118, nAnswer
3025, 26673298, Clarify
3025, 26685857, Clarify
3025, 26761908, Clarify
3025, 26834021, Clarify
3005, 24557386, Clarify
3005, 24558368, nAnswer
3005, 24565713, Clarify
3003, 24536037, Clarify
3003, 24536691, nAnswer
3003, 24538647, Clarify
3003, 24539324, Clarify
3003, 24539463, System
3003, 24539653, Clarify
3003, 24539657, System
3003, 24539690, Statement
3003, 24539787, Accept
3003, 27172970, Statement
3003, 27175790, whQuestion
3003, 28159253, Statement
3003, 28159408, Statement
3003, 28238730, Clarify
3002, 24523503, Emphasis
3002, 24523933, nAnswer
3002, 24524100, Statement
3002, 24524581, Clarify
3002, 24524872, Statement
3002, 24524978, Reject
3002, 24545282, Reject
3002, 24545502, Clarify
3002, 24545776, Clarify
3002, 26709374, Clarify
2998, 24474530, ynQuestion
2998, 25126133, Statement
2998, 25684220, Clarify
2998, 26410333, Statement
2998, 26411455, Statement
2998, 26412605, Clarify
2990, 24396584, System
2990, 24399524, Statement
