vegard 6	low
roques 5	low
apoelstra 1	low
gmaxwell 42	medium
wtogami 9	low
davout 2	low
cardpuncher 2	low
grimd34th 4	low
r000n 5	low
fcicq 5	low
sgimenez 2	low
ptrckbrwn 1	low
Krellan 2	low
wyager 0	low
nobled 2	low
iongchun 0	low
dlitz 2	low
JoelKatz 6	low
jonasschnelli 20	medium
al42and 3	low
phelixbtc 2	low
laanwj 566	very_high
fanquake 36	medium
gavinandresen 408	very_high
vinniefalco 3	low
mhanne 2	low
luke-jr 104	high
mgiuca 5	low
justmoon 1	low
redshark1802 1	low
gandaro 0	low
dserrano5 1	low
robbak 4	low
rebroad 13	low
drizzt 2	low
burger2 1	low
super3 11	low
mndrix 5	low
coderrr 2	low
94m3k1n9 1	low
cozz 5	low
Diapolo 384	very_high
jburkle 0	low
jrmithdobbs 6	low
vsrinivas 4	low
sje397 7	low
runeksvendsen 5	low
kwaaak 0	low
colindean 2	low
maqifrnswa 2	low
pstratem 3	low
xanatos 14	low
DavidGriffith 1	low
APerson241 1	low
L2G 1	low
dooglus 17	medium
alexwaters 2	low
mibe 4	low
xHire 2	low
celeduc 1	low
mikehearn 5	low
Nothing4You 1	low
alexanderkjeldaas 5	low
Matoking 6	low
tucenaber 1	low
jordanlewis 8	low
devrandom 8	low
sipa 379	very_high
CodeShark 27	medium
spiechu 2	low
bytemaster 2	low
cryptocoins 1	low
jgarzik 30	medium
jcalvinowens 1	low
p2k 6	low
enmaku 2	low
EricJ2190 4	low
jayschwa 4	low
celil-kj 5	low
CAFxX 2	low
muggenhor 32	medium
paraipan 4	low
petterreinholdtsen 1	low
cdhowie 2	low
Michagogo 10	low
Arnavion 1	low
rdponticelli 1	low
shanew 0	low
mb300sd 1	low
forrestv 6	low
mcassano 1	low
xslidian 2	low
petertodd 19	medium
freewil 6	low
globalcitizen 4	low
brandondahler 3	low
constantined 2	low
TheBlueMatt 209	high
codler 10	low
wizeman 10	low
